run_id,timestamp,git_commit,data_source,symbol,interval,market_regime,n,pos_rate,auc,auc_inverted,auc_gap,logloss
20260320_111642,2026-03-20T11:16:45.245272,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.375,0.4,0.6,-0.19999999999999996,0.6703960100501094
20260320_112553,2026-03-20T11:25:54.054353,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.4387614678899083,0.5007022905459836,0.49929770945401636,0.0014045810919672275,0.7506715924625005
20260320_112553,2026-03-20T11:25:54.054353,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8515,0.37475044039929534,0.5017033490840246,0.4982966509159754,0.0034066981680491715,0.7105015384148764
20260320_112553,2026-03-20T11:25:54.054353,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21045,0.3722974578284628,0.5359875691241623,0.4640124308758376,0.07197513824832474,0.705117740901523
20260320_112553,2026-03-20T11:25:54.054353,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.5833333333333334,0.39285714285714285,0.6071428571428572,-0.21428571428571436,0.727198426446007
20260320_150856,2026-03-20T15:08:56.617586,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.3755733944954128,0.48692106351509545,0.5130789364849045,-0.026157872969809093,0.7150484913440178
20260320_150856,2026-03-20T15:08:56.617586,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8514,0.33462532299741604,0.5143667572617263,0.48563324273827363,0.028733514523452686,0.6662877922097404
20260320_150856,2026-03-20T15:08:56.617586,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21046,0.30979758623966547,0.5473411859758132,0.45265881402418673,0.09468237195162643,0.6458380059364928
20260320_150856,2026-03-20T15:08:56.617586,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.5,0.45138888888888884,0.548611111111111,-0.09722222222222221,0.7245351426801552
20260320_151101,2026-03-20T15:11:01.793613,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.4387614678899083,0.500615612404833,0.49938438759516707,0.0012312248096659206,0.7517616017628804
